=== S/M/L + DUPLICATE REEL PINPOINT SIMULATION ===
Strategy: Use previous gap to PREDICT current gap type.
          Then look for duplicate reels in the predicted window.
          If duplicate found -> BET HIGH, triple is imminent.

======================================================================
   TARGET: TRIPLE ACCUMULATION
======================================================================

--- ACCOUNT: Islam (119 hits) ---

  Gap #  7 | Prev: M ( 87) | Curr: L (151) | Predicted: S | Dup at spin  54 [attack  |attack  |goldSack] | Triple  97 spins later
  Gap # 35 | Prev: S ( 28) | Curr: M (127) | Predicted: M | Dup at spin  97 [goldSack|goldSack|goldSack] | Triple  30 spins later
  Gap # 36 | Prev: M (127) | Curr: M (114) | Predicted: S | Dup at spin  90 [coin    |coin    |steal   ] | Triple  24 spins later
  Gap # 37 | Prev: M (114) | Curr: S ( 66) | Predicted: S | Dup at spin  54 [accumula|goldSack|goldSack] | Triple  12 spins later *** CAUGHT ***
  Gap # 38 | Prev: S ( 66) | Curr: L (207) | Predicted: M | Dup at spin 100 [accumula|goldSack|goldSack] | Triple 107 spins later
  Gap # 40 | Prev: S ( 55) | Curr: L (137) | Predicted: M | Dup at spin  81 [accumula|goldSack|goldSack] | Triple  56 spins later
  Gap # 42 | Prev: S ( 46) | Curr: L (139) | Predicted: M | Dup at spin  93 [attack  |attack  |attack  ] | Triple  46 spins later
  Gap # 43 | Prev: L (139) | Curr: S ( 53) | Predicted: S | Dup at spin  51 [accumula|accumula|coin    ] | Triple   2 spins later *** CAUGHT ***
  Gap # 44 | Prev: S ( 53) | Curr: L (169) | Predicted: M | Dup at spin  92 [attack  |attack  |coin    ] | Triple  77 spins later
  Gap # 45 | Prev: L (169) | Curr: M ( 91) | Predicted: S | Dup at spin  59 [attack  |attack  |attack  ] | Triple  32 spins later
  Gap # 46 | Prev: M ( 91) | Curr: S ( 63) | Predicted: S | Dup at spin  51 [steal   |spins   |goldSack] | Triple  12 spins later *** CAUGHT ***
  Gap # 48 | Prev: S ( 73) | Curr: M (118) | Predicted: M | Dup at spin  91 [coin    |coin    |coin    ] | Triple  27 spins later
  Gap # 49 | Prev: M (118) | Curr: M (122) | Predicted: S | Dup at spin  60 [attack  |attack  |attack  ] | Triple  62 spins later
  Gap # 50 | Prev: M (122) | Curr: M ( 99) | Predicted: S | Dup at spin  62 [coin    |coin    |coin    ] | Triple  37 spins later
  Gap # 51 | Prev: M ( 99) | Curr: L (267) | Predicted: S | Dup at spin  62 [goldSack|goldSack|goldSack] | Triple 205 spins later
  Gap # 52 | Prev: L (267) | Curr: M ( 83) | Predicted: S | Dup at spin  56 [goldSack|goldSack|goldSack] | Triple  27 spins later
  Gap # 53 | Prev: M ( 83) | Curr: M (117) | Predicted: S | Dup at spin  68 [attack  |steal   |goldSack] | Triple  49 spins later
  Gap # 54 | Prev: M (117) | Curr: M ( 88) | Predicted: S | Dup at spin  67 [attack  |steal   |goldSack] | Triple  21 spins later
  Gap # 59 | Prev: S ( 26) | Curr: M (100) | Predicted: M | Dup at spin  84 [attack  |attack  |goldSack] | Triple  16 spins later
  Gap # 60 | Prev: M (100) | Curr: L (185) | Predicted: S | Dup at spin  72 [accumula|goldSack|goldSack] | Triple 113 spins later
  Gap # 61 | Prev: L (185) | Curr: L (162) | Predicted: S | Dup at spin  55 [attack  |spins   |goldSack] | Triple 107 spins later
  Gap # 64 | Prev: S ( 11) | Curr: M (123) | Predicted: M | Dup at spin  97 [accumula|goldSack|goldSack] | Triple  26 spins later
  Gap # 65 | Prev: M (123) | Curr: S ( 60) | Predicted: S | Dup at spin  52 [accumula|goldSack|goldSack] | Triple   8 spins later *** CAUGHT ***
  Gap # 68 | Prev: S ( 38) | Curr: L (199) | Predicted: M | Dup at spin 114 [attack  |attack  |goldSack] | Triple  85 spins later
  Gap # 71 | Prev: S ( 70) | Curr: M ( 94) | Predicted: M | Dup at spin  90 [attack  |spins   |goldSack] | Triple   4 spins later *** CAUGHT ***
  Gap # 73 | Prev: S ( 48) | Curr: L (183) | Predicted: M | Dup at spin  87 [coin    |coin    |steal   ] | Triple  96 spins later
  Gap # 75 | Prev: S ( 25) | Curr: M ( 94) | Predicted: M | Dup at spin  88 [steal   |spins   |goldSack] | Triple   6 spins later *** CAUGHT ***
  Gap # 76 | Prev: M ( 94) | Curr: L (167) | Predicted: S | Dup at spin  80 [accumula|goldSack|goldSack] | Triple  87 spins later
  Gap # 80 | Prev: M (105) | Curr: L (151) | Predicted: S | Dup at spin  52 [coin    |steal   |spins   ] | Triple  99 spins later
  Gap # 82 | Prev: S ( 44) | Curr: M ( 96) | Predicted: M | Dup at spin  84 [coin    |steal   |spins   ] | Triple  12 spins later *** CAUGHT ***
  Gap # 83 | Prev: M ( 96) | Curr: L (166) | Predicted: S | Dup at spin  53 [attack  |steal   |goldSack] | Triple 113 spins later
  Gap # 84 | Prev: L (166) | Curr: M (106) | Predicted: S | Dup at spin  64 [accumula|goldSack|goldSack] | Triple  42 spins later
  Gap # 86 | Prev: S ( 28) | Curr: L (212) | Predicted: M | Dup at spin  86 [coin    |coin    |coin    ] | Triple 126 spins later
  Gap # 87 | Prev: L (212) | Curr: S ( 77) | Predicted: S | Dup at spin  64 [attack  |spins   |goldSack] | Triple  13 spins later *** CAUGHT ***
  Gap # 91 | Prev: S ( 71) | Curr: M (125) | Predicted: M | Dup at spin  95 [coin    |coin    |spins   ] | Triple  30 spins later
  Gap # 92 | Prev: M (125) | Curr: M ( 80) | Predicted: S | Dup at spin  63 [steal   |spins   |goldSack] | Triple  17 spins later
  Gap # 95 | Prev: M ( 95) | Curr: S ( 67) | Predicted: S | Dup at spin  52 [coin    |coin    |steal   ] | Triple  15 spins later *** CAUGHT ***
  Gap # 97 | Prev: S ( 50) | Curr: L (149) | Predicted: M | Dup at spin  80 [attack  |attack  |attack  ] | Triple  69 spins later
  Gap # 99 | Prev: S ( 56) | Curr: M (100) | Predicted: M | Dup at spin  95 [goldSack|goldSack|goldSack] | Triple   5 spins later *** CAUGHT ***
  Gap #100 | Prev: M (100) | Curr: M ( 96) | Predicted: S | Dup at spin  59 [coin    |coin    |coin    ] | Triple  37 spins later
  Gap #103 | Prev: M ( 85) | Curr: L (141) | Predicted: S | Dup at spin  80 [attack  |attack  |attack  ] | Triple  61 spins later
  Gap #104 | Prev: L (141) | Curr: M ( 81) | Predicted: S | Dup at spin  67 [steal   |spins   |goldSack] | Triple  14 spins later *** CAUGHT ***
  Gap #105 | Prev: M ( 81) | Curr: M (100) | Predicted: S | Dup at spin  66 [coin    |coin    |coin    ] | Triple  34 spins later
  Gap #106 | Prev: M (100) | Curr: M ( 89) | Predicted: S | Dup at spin  50 [accumula|goldSack|goldSack] | Triple  39 spins later
  Gap #107 | Prev: M ( 89) | Curr: M (109) | Predicted: S | Dup at spin  67 [accumula|accumula|coin    ] | Triple  42 spins later
  Gap #108 | Prev: M (109) | Curr: M (108) | Predicted: S | Dup at spin  52 [coin    |steal   |shield  ] | Triple  56 spins later
  Gap #109 | Prev: M (108) | Curr: S ( 68) | Predicted: S | Dup at spin  52 [coin    |coin    |spins   ] | Triple  16 spins later
  Gap #117 | Prev: M ( 90) | Curr: L (138) | Predicted: S | Dup at spin  62 [attack  |attack  |attack  ] | Triple  76 spins later
  Gap #118 | Prev: L (138) | Curr: S ( 78) | Predicted: S | Dup at spin  68 [attack  |steal   |goldSack] | Triple  10 spins later *** CAUGHT ***
  Gap #119 | Prev: S ( 78) | Curr: M (124) | Predicted: M | Dup at spin  80 [attack  |attack  |goldSack] | Triple  44 spins later
  Gap #120 | Prev: M (124) | Curr: M (120) | Predicted: S | Dup at spin  88 [accumula|goldSack|goldSack] | Triple  32 spins later
  Gap #122 | Prev: S ( 43) | Curr: L (154) | Predicted: M | Dup at spin  87 [accumula|goldSack|goldSack] | Triple  67 spins later
  Gap #124 | Prev: S ( 32) | Curr: M (127) | Predicted: M | Dup at spin  88 [steal   |spins   |goldSack] | Triple  39 spins later
  Gap #126 | Prev: S ( 66) | Curr: L (194) | Predicted: M | Dup at spin  81 [accumula|goldSack|goldSack] | Triple 113 spins later
  Gap #130 | Prev: S ( 51) | Curr: M ( 96) | Predicted: M | Dup at spin  87 [accumula|goldSack|goldSack] | Triple   9 spins later *** CAUGHT ***
  Gap #131 | Prev: M ( 96) | Curr: L (210) | Predicted: S | Dup at spin  52 [attack  |attack  |attack  ] | Triple 158 spins later
  Gap #134 | Prev: S ( 49) | Curr: L (255) | Predicted: M | Dup at spin  87 [attack  |spins   |goldSack] | Triple 168 spins later
  Gap #136 | Prev: S ( 34) | Curr: M (108) | Predicted: M | Dup at spin  91 [accumula|goldSack|goldSack] | Triple  17 spins later
  Gap #137 | Prev: M (108) | Curr: S ( 68) | Predicted: S | Dup at spin  55 [attack  |attack  |attack  ] | Triple  13 spins later *** CAUGHT ***
  Gap #144 | Prev: S ( 69) | Curr: M (106) | Predicted: M | Dup at spin  84 [attack  |attack  |goldSack] | Triple  22 spins later
  Gap #146 | Prev: S ( 25) | Curr: L (246) | Predicted: M | Dup at spin  93 [accumula|accumula|coin    ] | Triple 153 spins later

  Account Summary: 76 duplicate signals, 19 catches, 1060 high bets, 55.8 mb/hit

--- ACCOUNT: Nick (40 hits) ---

  Gap #  5 | Prev: S ( 12) | Curr: M (126) | Predicted: M | Dup at spin  92 [steal   |steal   |steal   ] | Triple  34 spins later
  Gap #  6 | Prev: M (126) | Curr: M ( 95) | Predicted: S | Dup at spin  52 [attack  |attack  |coin    ] | Triple  43 spins later
  Gap # 10 | Prev: S ( 13) | Curr: M (114) | Predicted: M | Dup at spin  82 [accumula|goldSack|goldSack] | Triple  32 spins later
  Gap # 11 | Prev: M (114) | Curr: M (124) | Predicted: S | Dup at spin  94 [coin    |coin    |spins   ] | Triple  30 spins later
  Gap # 14 | Prev: S ( 29) | Curr: L (134) | Predicted: M | Dup at spin  81 [attack  |spins   |goldSack] | Triple  53 spins later
  Gap # 15 | Prev: L (134) | Curr: M (111) | Predicted: S | Dup at spin  70 [attack  |steal   |goldSack] | Triple  41 spins later
  Gap # 18 | Prev: S ( 79) | Curr: L (152) | Predicted: M | Dup at spin  99 [accumula|goldSack|goldSack] | Triple  53 spins later
  Gap # 22 | Prev: S ( 54) | Curr: L (140) | Predicted: M | Dup at spin 100 [shield  |shield  |shield  ] | Triple  40 spins later
  Gap # 23 | Prev: L (140) | Curr: L (173) | Predicted: S | Dup at spin  61 [accumula|goldSack|goldSack] | Triple 112 spins later
  Gap # 32 | Prev: S ( 74) | Curr: M (119) | Predicted: M | Dup at spin  83 [coin    |coin    |coin    ] | Triple  36 spins later
  Gap # 33 | Prev: M (119) | Curr: L (153) | Predicted: S | Dup at spin  50 [coin    |steal   |spins   ] | Triple 103 spins later
  Gap # 34 | Prev: L (153) | Curr: S ( 78) | Predicted: S | Dup at spin  52 [attack  |coin    |spins   ] | Triple  26 spins later
  Gap # 35 | Prev: S ( 78) | Curr: M (108) | Predicted: M | Dup at spin  99 [accumula|goldSack|goldSack] | Triple   9 spins later *** CAUGHT ***
  Gap # 36 | Prev: M (108) | Curr: M (106) | Predicted: S | Dup at spin  53 [attack  |coin    |coin    ] | Triple  53 spins later
  Gap # 38 | Prev: S ( 14) | Curr: M (124) | Predicted: M | Dup at spin 118 [coin    |steal   |spins   ] | Triple   6 spins later *** CAUGHT ***
  Gap # 39 | Prev: M (124) | Curr: M ( 90) | Predicted: S | Dup at spin  71 [coin    |steal   |spins   ] | Triple  19 spins later

  Account Summary: 16 duplicate signals, 2 catches, 227 high bets, 113.5 mb/hit

--- ACCOUNT: Ahmed (146 hits) ---

  Gap #  4 | Prev: S ( 12) | Curr: M ( 97) | Predicted: M | Dup at spin  90 [attack  |coin    |coin    ] | Triple   7 spins later *** CAUGHT ***
  Gap #  7 | Prev: S ( 70) | Curr: L (132) | Predicted: M | Dup at spin  94 [accumula|accumula|coin    ] | Triple  38 spins later
  Gap #  8 | Prev: L (132) | Curr: M ( 95) | Predicted: S | Dup at spin  73 [attack  |spins   |goldSack] | Triple  22 spins later
  Gap #  9 | Prev: M ( 95) | Curr: L (205) | Predicted: S | Dup at spin  72 [attack  |coin    |coin    ] | Triple 133 spins later
  Gap # 10 | Prev: L (205) | Curr: L (310) | Predicted: S | Dup at spin  73 [accumula|goldSack|goldSack] | Triple 237 spins later
  Gap # 11 | Prev: L (310) | Curr: L (314) | Predicted: S | Dup at spin  50 [goldSack|goldSack|goldSack] | Triple 264 spins later
  Gap # 12 | Prev: L (314) | Curr: S ( 78) | Predicted: S | Dup at spin  73 [attack  |spins   |goldSack] | Triple   5 spins later *** CAUGHT ***
  Gap # 16 | Prev: S ( 75) | Curr: M (130) | Predicted: M | Dup at spin  84 [attack  |coin    |coin    ] | Triple  46 spins later
  Gap # 18 | Prev: S ( 55) | Curr: L (147) | Predicted: M | Dup at spin  82 [accumula|goldSack|goldSack] | Triple  65 spins later
  Gap # 19 | Prev: L (147) | Curr: M (124) | Predicted: S | Dup at spin  60 [accumula|goldSack|goldSack] | Triple  64 spins later
  Gap # 25 | Prev: S ( 68) | Curr: M (113) | Predicted: M | Dup at spin  92 [goldSack|goldSack|goldSack] | Triple  21 spins later
  Gap # 26 | Prev: M (113) | Curr: M (114) | Predicted: S | Dup at spin  58 [attack  |steal   |goldSack] | Triple  56 spins later
  Gap # 27 | Prev: M (114) | Curr: M ( 87) | Predicted: S | Dup at spin  59 [accumula|accumula|coin    ] | Triple  28 spins later
  Gap # 29 | Prev: S ( 14) | Curr: M (122) | Predicted: M | Dup at spin  92 [accumula|goldSack|goldSack] | Triple  30 spins later
  Gap # 30 | Prev: M (122) | Curr: M (103) | Predicted: S | Dup at spin  88 [attack  |spins   |goldSack] | Triple  15 spins later *** CAUGHT ***
  Gap # 31 | Prev: M (103) | Curr: M (101) | Predicted: S | Dup at spin  57 [coin    |coin    |spins   ] | Triple  44 spins later
  Gap # 32 | Prev: M (101) | Curr: S ( 61) | Predicted: S | Dup at spin  56 [accumula|accumula|coin    ] | Triple   5 spins later *** CAUGHT ***
  Gap # 33 | Prev: S ( 61) | Curr: L (141) | Predicted: M | Dup at spin  81 [accumula|goldSack|goldSack] | Triple  60 spins later
  Gap # 34 | Prev: L (141) | Curr: S ( 62) | Predicted: S | Dup at spin  55 [accumula|goldSack|goldSack] | Triple   7 spins later *** CAUGHT ***
  Gap # 35 | Prev: S ( 62) | Curr: L (138) | Predicted: M | Dup at spin  84 [steal   |spins   |goldSack] | Triple  54 spins later
  Gap # 37 | Prev: S ( 32) | Curr: L (182) | Predicted: M | Dup at spin 129 [goldSack|goldSack|goldSack] | Triple  53 spins later
  Gap # 39 | Prev: S ( 35) | Curr: M (124) | Predicted: M | Dup at spin  80 [coin    |steal   |spins   ] | Triple  44 spins later
  Gap # 41 | Prev: S ( 66) | Curr: M (117) | Predicted: M | Dup at spin  87 [attack  |steal   |goldSack] | Triple  30 spins later
  Gap # 48 | Prev: S ( 58) | Curr: M (101) | Predicted: M | Dup at spin  86 [attack  |shield  |goldSack] | Triple  15 spins later *** CAUGHT ***
  Gap # 49 | Prev: M (101) | Curr: L (145) | Predicted: S | Dup at spin  56 [attack  |attack  |goldSack] | Triple  89 spins later
  Gap # 50 | Prev: L (145) | Curr: M (113) | Predicted: S | Dup at spin  80 [accumula|goldSack|goldSack] | Triple  33 spins later
  Gap # 53 | Prev: M ( 85) | Curr: L (176) | Predicted: S | Dup at spin  58 [accumula|goldSack|goldSack] | Triple 118 spins later
  Gap # 55 | Prev: S ( 28) | Curr: M (125) | Predicted: M | Dup at spin  89 [accumula|accumula|coin    ] | Triple  36 spins later
  Gap # 56 | Prev: M (125) | Curr: M (113) | Predicted: S | Dup at spin  67 [coin    |coin    |steal   ] | Triple  46 spins later
  Gap # 57 | Prev: M (113) | Curr: M (124) | Predicted: S | Dup at spin  67 [accumula|goldSack|goldSack] | Triple  57 spins later
  Gap # 59 | Prev: S ( 13) | Curr: M ( 93) | Predicted: M | Dup at spin  81 [accumula|goldSack|goldSack] | Triple  12 spins later *** CAUGHT ***
  Gap # 63 | Prev: S ( 61) | Curr: M (108) | Predicted: M | Dup at spin  93 [coin    |coin    |coin    ] | Triple  15 spins later *** CAUGHT ***
  Gap # 64 | Prev: M (108) | Curr: L (147) | Predicted: S | Dup at spin  72 [steal   |spins   |goldSack] | Triple  75 spins later
  Gap # 67 | Prev: S ( 65) | Curr: M (128) | Predicted: M | Dup at spin  89 [coin    |steal   |spins   ] | Triple  39 spins later
  Gap # 68 | Prev: M (128) | Curr: M ( 97) | Predicted: S | Dup at spin  61 [accumula|goldSack|goldSack] | Triple  36 spins later
  Gap # 69 | Prev: M ( 97) | Curr: S ( 70) | Predicted: S | Dup at spin  55 [accumula|goldSack|goldSack] | Triple  15 spins later *** CAUGHT ***
  Gap # 72 | Prev: M ( 81) | Curr: M (112) | Predicted: S | Dup at spin  81 [accumula|goldSack|goldSack] | Triple  31 spins later
  Gap # 73 | Prev: M (112) | Curr: S ( 78) | Predicted: S | Dup at spin  59 [coin    |coin    |coin    ] | Triple  19 spins later
  Gap # 77 | Prev: S ( 29) | Curr: L (154) | Predicted: M | Dup at spin  96 [attack  |steal   |goldSack] | Triple  58 spins later
  Gap # 78 | Prev: L (154) | Curr: M (107) | Predicted: S | Dup at spin  64 [attack  |spins   |goldSack] | Triple  43 spins later
  Gap # 81 | Prev: S ( 45) | Curr: M ( 87) | Predicted: M | Dup at spin  85 [steal   |spins   |goldSack] | Triple   2 spins later *** CAUGHT ***
  Gap # 84 | Prev: S ( 38) | Curr: M (116) | Predicted: M | Dup at spin  94 [accumula|goldSack|goldSack] | Triple  22 spins later
  Gap # 94 | Prev: S ( 73) | Curr: L (157) | Predicted: M | Dup at spin  81 [coin    |steal   |steal   ] | Triple  76 spins later
  Gap # 99 | Prev: S ( 50) | Curr: L (161) | Predicted: M | Dup at spin  90 [accumula|goldSack|goldSack] | Triple  71 spins later
  Gap #100 | Prev: L (161) | Curr: S ( 71) | Predicted: S | Dup at spin  66 [steal   |spins   |goldSack] | Triple   5 spins later *** CAUGHT ***
  Gap #105 | Prev: S ( 45) | Curr: M ( 85) | Predicted: M | Dup at spin  80 [attack  |coin    |coin    ] | Triple   5 spins later *** CAUGHT ***
  Gap #106 | Prev: M ( 85) | Curr: L (230) | Predicted: S | Dup at spin  55 [attack  |coin    |coin    ] | Triple 175 spins later
  Gap #108 | Prev: S ( 45) | Curr: M ( 90) | Predicted: M | Dup at spin  83 [accumula|goldSack|goldSack] | Triple   7 spins later *** CAUGHT ***
  Gap #110 | Prev: S ( 12) | Curr: M ( 83) | Predicted: M | Dup at spin  81 [accumula|goldSack|goldSack] | Triple   2 spins later *** CAUGHT ***
  Gap #111 | Prev: M ( 83) | Curr: M ( 86) | Predicted: S | Dup at spin  68 [accumula|accumula|coin    ] | Triple  18 spins later
  Gap #113 | Prev: S ( 37) | Curr: L (161) | Predicted: M | Dup at spin  92 [goldSack|goldSack|goldSack] | Triple  69 spins later
  Gap #115 | Prev: S ( 19) | Curr: L (324) | Predicted: M | Dup at spin  86 [accumula|goldSack|goldSack] | Triple 238 spins later
  Gap #118 | Prev: S ( 43) | Curr: L (187) | Predicted: M | Dup at spin  84 [attack  |attack  |attack  ] | Triple 103 spins later
  Gap #119 | Prev: L (187) | Curr: M ( 95) | Predicted: S | Dup at spin  69 [coin    |coin    |coin    ] | Triple  26 spins later
  Gap #120 | Prev: M ( 95) | Curr: M (130) | Predicted: S | Dup at spin  60 [accumula|goldSack|goldSack] | Triple  70 spins later
  Gap #123 | Prev: S (  5) | Curr: L (171) | Predicted: M | Dup at spin  92 [attack  |steal   |goldSack] | Triple  79 spins later
  Gap #124 | Prev: L (171) | Curr: S ( 63) | Predicted: S | Dup at spin  55 [attack  |spins   |goldSack] | Triple   8 spins later *** CAUGHT ***
  Gap #125 | Prev: S ( 63) | Curr: M (108) | Predicted: M | Dup at spin  83 [accumula|goldSack|goldSack] | Triple  25 spins later
  Gap #126 | Prev: M (108) | Curr: S ( 60) | Predicted: S | Dup at spin  51 [accumula|goldSack|goldSack] | Triple   9 spins later *** CAUGHT ***
  Gap #128 | Prev: M (105) | Curr: M ( 80) | Predicted: S | Dup at spin  52 [shield  |shield  |shield  ] | Triple  28 spins later
  Gap #129 | Prev: M ( 80) | Curr: L (175) | Predicted: S | Dup at spin  63 [accumula|accumula|coin    ] | Triple 112 spins later
  Gap #130 | Prev: L (175) | Curr: S ( 78) | Predicted: S | Dup at spin  54 [attack  |attack  |goldSack] | Triple  24 spins later
  Gap #131 | Prev: S ( 78) | Curr: M ( 92) | Predicted: M | Dup at spin  81 [steal   |spins   |goldSack] | Triple  11 spins later *** CAUGHT ***
  Gap #132 | Prev: M ( 92) | Curr: S ( 59) | Predicted: S | Dup at spin  56 [coin    |coin    |steal   ] | Triple   3 spins later *** CAUGHT ***
  Gap #135 | Prev: S ( 31) | Curr: L (171) | Predicted: M | Dup at spin  90 [attack  |spins   |goldSack] | Triple  81 spins later
  Gap #136 | Prev: L (171) | Curr: S ( 79) | Predicted: S | Dup at spin  68 [accumula|goldSack|goldSack] | Triple  11 spins later *** CAUGHT ***
  Gap #137 | Prev: S ( 79) | Curr: M (130) | Predicted: M | Dup at spin  85 [coin    |coin    |steal   ] | Triple  45 spins later
  Gap #138 | Prev: M (130) | Curr: M ( 92) | Predicted: S | Dup at spin  52 [goldSack|goldSack|goldSack] | Triple  40 spins later
  Gap #139 | Prev: M ( 92) | Curr: M ( 84) | Predicted: S | Dup at spin  51 [accumula|goldSack|goldSack] | Triple  33 spins later
  Gap #140 | Prev: M ( 84) | Curr: S ( 60) | Predicted: S | Dup at spin  52 [accumula|goldSack|goldSack] | Triple   8 spins later *** CAUGHT ***
  Gap #141 | Prev: S ( 60) | Curr: M ( 98) | Predicted: M | Dup at spin  80 [accumula|goldSack|goldSack] | Triple  18 spins later
  Gap #142 | Prev: M ( 98) | Curr: M (115) | Predicted: S | Dup at spin  76 [coin    |coin    |coin    ] | Triple  39 spins later
  Gap #143 | Prev: M (115) | Curr: L (154) | Predicted: S | Dup at spin  51 [accumula|goldSack|goldSack] | Triple 103 spins later
  Gap #144 | Prev: L (154) | Curr: M ( 96) | Predicted: S | Dup at spin  87 [coin    |coin    |steal   ] | Triple   9 spins later *** CAUGHT ***

  Account Summary: 74 duplicate signals, 21 catches, 988 high bets, 47.0 mb/hit


======================================================================
OVERALL SUMMARY FOR SPINS:
  Total Gaps Analyzed: 327
  S/M/L Prediction Accuracy: 147/327 (45.0%)
  Duplicate Signals Found in Window: 166
  Triple landed within 5 spins of dup: 10 (6.0%)
  Triple landed within 10 spins of dup: 25 (15.1%)
  Triple CAUGHT (within 15 spins of dup): 42 (25.3%)
  Total High Bets Used: 2275
  Total Catches: 42
  Efficiency: 54.2 mb/hit
======================================================================

